0 2 0 0 0
0.1 2 0 0 0
0.2 2 0.00103461 5.71748e-05 0.0094941
0.3 2 0.00517774 0.000243806 0.0404849
0.4 2 0.0145255 0.000589747 0.0979298
0.5 2 0.0312312 0.00110458 0.18342
0.6 2 0.0575618 0.00178931 0.297121
0.7 2 0.0959843 0.00264297 0.438876
0.8 2 0.149248 0.00366568 0.608701
0.9 2 0.220577 0.00486231 0.807405
1 2 0.313954 0.00624592 1.03716
1.1 2 0.434487 0.00784021 1.3019
1.2 2 0.589231 0.00968792 1.60872
1.3 2 0.788792 0.0118658 1.97036
1.4 2 1.0506 0.0145145 2.4102
1.5 2 1.39081 0.0177083 2.94053
1.6 2 1.80952 0.0213013 3.53717
1.7 2 2.3121 0.0252389 4.19101
1.8 2 2.91333 0.0295708 4.91035
1.9 2 3.63396 0.0343854 5.70983
2 2 4.50026 0.0397911 6.60746
2.1 2 5.54446 0.045912 7.62386
2.2 2 6.80417 0.0528768 8.7804
2.3 2 8.31936 0.0607928 10.0949
2.4 2 10.1265 0.0697094 11.5755
2.5 2 12.2512 0.0795855 13.2155
2.6 2 14.7027 0.0902782 14.9911
2.7 2 17.4746 0.101577 16.8672
2.8 2 20.5608 0.113309 18.8153
2.9 2 23.9743 0.125432 20.8284
3 2 27.7417 0.137976 22.9114
3.1 2 31.8907 0.150968 25.0689
3.2 2 36.4465 0.164417 27.3021
3.3 2 41.4309 0.178311 29.6092
3.4 2 46.8617 0.192621 31.9854
3.5 2 52.7521 0.207303 34.4234
3.6 2 59.112 0.222305 36.9147
4 2 89.5005 0.284889 47.3069
5 2 206.694 0.456894 75.869
6 2 396.43 0.643813 106.908
7 2 675.588 0.840025 139.489
8 2 1061.02 1.04239 173.092
9 2 1569.76 1.24917 207.43
10 2 2218.86 1.45926 242.316
11 2 3025.38 1.67189 277.624
12 2 4006.41 1.88651 313.262
13 2 5179.03 2.10273 349.166
14 2 6560.31 2.32024 385.284
15 2 8167.36 2.53882 421.581
