0.5 2 0.0312288 0.00110449 0.183406
0.6 2 0.0575523 0.00178901 0.297072
0.7 2 0.0959459 0.00264192 0.4387
0.8 2 0.149116 0.00366242 0.60816
0.9 2 0.220252 0.00485515 0.806216
1 2 0.313197 0.00623086 1.03466
1.1 2 0.432895 0.00781149 1.29713
1.2 2 0.586128 0.0096369 1.60025
1.3 2 0.78302 0.011779 1.95594
1.4 2 1.03997 0.0143677 2.38582
1.5 2 1.37132 0.0174602 2.89934
1.6 2 1.77543 0.0209 3.47053
1.7 2 2.25554 0.0246214 4.08848
1.8 2 2.82321 0.0286561 4.75846
1.9 2 3.49445 0.0330654 5.49064
2 2 4.28863 0.0379198 6.29673
2.1 2 5.22789 0.0432906 7.18857
2.2 2 6.33527 0.0492329 8.17532
2.3 2 7.63032 0.0557577 9.25879
2.4 2 9.12282 0.0628002 10.4282
2.5 2 10.8074 0.0702065 11.6581
2.6 2 12.6636 0.0777574 12.9119
2.7 2 14.6638 0.0852379 14.1541
2.8 2 16.7896 0.0925256 15.3642
2.9 2 19.0395 0.0996133 16.5412
3 2 21.4203 0.106536 17.6907
4 2 52.4977 0.167105 27.7485
5 2 96.1055 0.21244 35.2765
6 2 151.859 0.246624 40.9528
7 2 219.285 0.272659 45.276
8 2 298.107 0.292872 48.6326
9 2 388.206 0.308924 51.2981
10 2 489.494 0.321923 53.4566
11 2 601.917 0.332632 55.2348
12 2 725.434 0.341587 56.7218
13 2 860.008 0.34917 57.981
14 2 1005.62 0.355664 59.0594
15 2 1162.25 0.361284 59.9926
16 2 1329.88 0.366189 60.8071
17 2 1508.51 0.370503 61.5235
18 2 1698.12 0.374328 62.1586
19 2 1898.72 0.377739 62.725
20 2 2110.29 0.380797 63.2328
21 2 2332.85 0.383558 63.6913
22 2 2566.38 0.38606 64.1068
23 2 2810.86 0.388335 64.4845
24 2 3066.3 0.390413 64.8296
25 2 3332.67 0.392316 65.1456
26 2 3609.94 0.39406 65.4352
27 2 3898.11 0.395665 65.7017
28 2 4197.15 0.397145 65.9474
29 2 4507.02 0.398508 66.1737
30 2 4827.7 0.399767 66.3829
31 2 5159.21 0.400934 66.5767
32 2 5501.48 0.402015 66.7561
33 2 5854.52 0.403017 66.9226
34 2 6218.37 0.403953 67.0779
35 2 6592.98 0.404825 67.2227
36 2 6978.37 0.40564 67.3581
37 2 7374.62 0.406408 67.4856
38 2 7781.69 0.407132 67.6058
39 2 8199.61 0.407815 67.7193
40 2 8628.46 0.408466 67.8274
41 2 9068.26 0.409087 67.9305
42 2 9518.93 0.409677 68.0284
43 2 9980.62 0.410244 68.1226
44 2 10453.3 0.410787 68.2128
45 2 10936.8 0.411306 68.2989
46 2 11431.3 0.411802 68.3814
47 2 11936.6 0.412276 68.46
48 2 12452.6 0.412721 68.534
49 2 12979.3 0.413145 68.6044
50 2 13516.7 0.413544 68.6706
51 2 14065.2 0.413932 68.735
52 2 14624.6 0.414308 68.7974
53 2 15194.8 0.414665 68.8567
54 2 15776.1 0.415015 68.9149
55 2 16368.4 0.415355 68.9713
56 2 16971.8 0.415689 69.0267
57 2 17586.2 0.416013 69.0805
58 2 18211.5 0.416325 69.1325
59 2 18847.8 0.416628 69.1827
60 2 19495 0.416921 69.2314
61 2 20153.1 0.417203 69.2782
62 2 20821.9 0.417475 69.3233
63 2 21501.8 0.417739 69.3672
64 2 22192.6 0.417996 69.4099
65 2 22894.3 0.418244 69.451
66 2 23606.9 0.418485 69.4911
67 2 24330.5 0.41872 69.5301
68 2 25065.1 0.418949 69.5681
69 2 25810.6 0.419172 69.6051
70 2 26567 0.419389 69.6411
71 2 27334.4 0.4196 69.6762
72 2 28112.8 0.419806 69.7104
73 2 28902.1 0.420007 69.7437
74 2 29702.3 0.420202 69.7762
75 2 30513.5 0.420393 69.8079
76 2 31335.6 0.420579 69.8387
77 2 32168.7 0.42076 69.8688
78 2 33012.6 0.420936 69.898
79 2 33867.5 0.421108 69.9266
80 2 34733.2 0.421275 69.9543
81 2 35609.9 0.421437 69.9813
82 2 36497.5 0.421596 70.0077
83 2 37396 0.421751 70.0334
84 2 38305.3 0.421902 70.0584
85 2 39225.5 0.422048 70.0826
86 2 40156.7 0.422191 70.1065
87 2 41098.6 0.42233 70.1295
88 2 42051.5 0.422466 70.1521
89 2 43015.3 0.422599 70.1742
90 2 43990 0.422728 70.1957
91 2 44975.7 0.422855 70.2168
92 2 45972.2 0.42298 70.2375
93 2 46979.7 0.423102 70.2577
94 2 47998.2 0.423222 70.2776
95 2 49027.6 0.423339 70.2971
96 2 50068 0.423454 70.3163
97 2 51119.2 0.423567 70.335
98 2 52181.4 0.423678 70.3533
99 2 53254.4 0.423785 70.3712
100 2 54338.3 0.42389 70.3887
